PLAYER,TEAM,FPTS,RUSH YDS,RUSH TDS,ATT,CMP,PASS YDS,PASS TDS,FL,INTS
Deshaun Watson,HOU,157,202,2,174,107,1297,15,1,5
Tom Brady,NE,152,21,0,233,153,1959,13,2,2
Alex Smith,KC,148,121,1,192,140,1637,12,0,0
Carson Wentz,PHI,144,133,0,207,126,1584,13,2,3
Cam Newton,CAR,144,161,3,197,127,1476,9,0,8
Carson Palmer,ARI,130,12,0,249,154,1856,9,0,6
Aaron Rodgers,GB,130,83,0,193,128,1385,13,1,3
Dak Prescott,DAL,128,126,2,179,112,1192,11,0,4
Matthew Stafford,DET,125,57,0,225,136,1428,12,4,4
Philip Rivers,LAC,122,1,0,230,141,1633,10,1,5
Kirk Cousins,WAS,119,103,1,158,105,1334,9,2,2
Eli Manning,NYG,117,21,1,221,148,1466,9,1,5
Russell Wilson,SEA,114,154,1,178,111,1222,8,1,3
Jared Goff,LAR,109,32,0,185,111,1484,8,1,3
Josh McCown,NYJ,108,56,1,194,136,1374,7,2,6
Trevor Siemian,DEN,107,55,1,176,108,1264,8,1,6
Drew Brees,NO,106,4,0,183,126,1321,10,0,2
Ben Roethlisberger,PIT,103,-6,0,220,137,1521,7,1,8
Marcus Mariota,TEN,100,116,3,142,89,1098,4,0,4
Jacoby Brissett,IND,100,98,3,164,98,1209,3,1,3
Blake Bortles,JAC,98,126,0,170,97,1068,8,1,5
Matt Ryan,ATL,94,26,0,170,112,1357,6,1,6
Jameis Winston,TB,94,30,0,164,99,1259,7,0,3
Andy Dalton,CIN,93,36,0,159,104,1220,7,2,6
Brian Hoyer,SF,85,7,1,205,119,1245,4,1,4
Case Keenum,MIN,82,55,0,159,102,1134,5,0,1
Tyrod Taylor,BUF,82,121,0,136,85,910,6,0,2
DeShone Kizer,CLE,79,126,2,159,81,851,3,2,9
Derek Carr,OAK,79,7,0,139,95,924,8,0,4
Joe Flacco,BAL,66,-3,0,185,116,1003,4,0,8
Jay Cutler,MIA,65,20,0,164,101,857,5,0,4
Mike Glennon,CHI,58,4,0,140,93,833,4,3,5
Kevin Hogan,CLE,49,71,0,75,46,517,4,0,5
Sam Bradford,MIN,31,-3,0,43,32,382,3,0,0
Ryan Fitzpatrick,TB,27,8,0,33,22,290,3,0,2
Mitchell Trubisky,CHI,25,54,0,41,20,241,2,2,1
EJ Manuel,OAK,19,15,0,43,24,265,1,0,1
C.J. Beathard,SF,18,14,0,36,19,245,1,0,1
Brett Hundley,GB,12,3,0,34,19,157,1,0,3
Matt Cassel,TEN,11,0,0,32,21,141,1,1,0
Scott Tolzien,IND,7,2,0,18,9,128,0,0,2
Ryan Mallett,BAL,6,0,0,9,6,36,1,0,0
Tom Savage,HOU,3,0,0,13,7,62,0,2,0
Derek Anderson,CAR,1,0,0,7,2,17,0,0,0
Brock Osweiler,DEN,1,-1,0,4,2,18,0,0,0
Sean Mannion,LAR,0,-7,0,1,1,12,0,0,0
Chad Henne,JAC,0,-3,0,2,0,0,0,0,0
