PLAYER,TEAM,FPTS,ATT,YDS,TDS,REC,REC YDS,REC TDS,FL
Kareem Hunt,KC,124,106,630,4,21,255,2,1
Todd Gurley,LAR,119,123,521,4,23,245,3,2
Leonard Fournette,JAC,115,130,596,6,15,136,1,0
Melvin Gordon,LAC,100,99,356,3,28,222,4,0
Le'Veon Bell,PIT,95,134,550,4,30,156,0,0
Jordan Howard,CHI,79,118,495,4,11,59,0,1
Chris Thompson,WAS,76,36,175,2,18,340,2,1
Carlos Hyde,SF,74,86,360,4,23,142,0,0
Devonta Freeman,ATL,73,79,353,5,11,81,0,0
Ezekiel Elliott,DAL,71,105,393,2,17,134,1,0
Lamar Miller,HOU,67,98,372,1,15,175,1,0
Duke Johnson Jr.,CLE,57,21,117,2,26,269,1,0
Mark Ingram,NO,56,67,284,2,20,161,0,1
Dalvin Cook,MIN,56,74,354,2,11,90,0,1
C.J. Anderson,DEN,53,82,347,1,10,67,1,0
LeGarrette Blount,PHI,53,70,390,1,3,21,1,0
Mike Gillislee,NE,53,79,290,4,0,0,0,1
DeMarco Murray,TEN,52,68,313,2,14,86,0,1
Christian McCaffrey,CAR,52,38,104,0,37,293,2,1
Javorius Allen,BAL,52,76,281,1,23,114,1,0
Frank Gore,IND,51,85,288,2,10,100,0,0
Ty Montgomery,GB,49,56,180,2,19,132,1,0
Jerick McKinnon,MIN,49,42,190,2,19,121,1,2
Tevin Coleman,ATL,49,38,213,1,14,157,1,0
Ameer Abdullah,DET,47,90,342,1,10,68,0,0
LeSean McCoy,BUF,47,87,279,0,27,189,0,0
Derrick Henry,TEN,46,62,318,2,2,24,0,0
Tarik Cohen,CHI,45,50,226,0,26,163,1,2
Alvin Kamara,NO,44,25,158,1,24,159,1,0
Bilal Powell,NYJ,43,51,240,2,13,72,0,0
Marshawn Lynch,OAK,42,70,257,2,4,38,0,0
Jay Ajayi,MIA,41,102,391,0,7,23,0,1
Giovani Bernard,CIN,38,20,91,0,10,164,2,0
Chris Ivory,JAC,36,40,162,0,16,143,1,0
James White,NE,35,23,99,0,33,252,0,0
Jonathan Stewart,CAR,35,85,247,0,6,44,1,1
Aaron Jones,GB,34,45,215,2,2,10,0,0
Adrian Peterson,NO,34,53,215,2,2,4,0,0
Alex Collins,BAL,34,52,335,0,0,0,0,2
Orleans Darkwa,NYG,33,42,239,1,5,29,0,0
Chris Carson,SEA,33,49,208,0,7,59,1,0
Joe Mixon,CIN,32,67,187,1,11,78,0,0
Isaiah Crowell,CLE,32,74,252,0,9,72,0,0
Dion Lewis,NE,31,30,151,2,7,42,0,0
Elijah McGuire,NYJ,31,44,198,1,5,55,0,1
Andre Ellington,ARI,31,13,49,0,28,257,0,0
Jalen Richard,OAK,30,26,127,1,8,108,0,0
Marlon Mack,IND,28,27,130,2,3,34,0,0
Terrance West,BAL,28,39,138,2,2,23,0,1
Theo Riddick,DET,28,18,39,0,23,180,1,0
Jamaal Charles,DEN,28,38,194,1,4,23,0,1
Charcandrick West,KC,28,5,23,1,11,72,2,0
D'Onta Foreman,HOU,28,50,207,0,3,68,0,1
Jacquizz Rodgers,TB,27,46,168,1,4,44,0,0
Doug Martin,TB,27,27,127,2,2,19,0,0
Samaje Perine,WAS,26,55,166,0,5,30,1,1
Matt Forte,NYJ,23,32,116,0,14,117,0,0
Wendell Smallwood,PHI,23,29,113,1,7,56,0,0
Mike Tolbert,BUF,23,37,135,1,5,32,0,0
Wayne Gallman,NYG,22,31,126,0,9,38,1,0
J.D. McKissic,SEA,22,6,38,1,4,63,1,0
Matt Breida,SF,20,34,141,0,10,64,0,0
Shane Vereen,NYG,20,18,69,0,19,134,0,0
Austin Ekeler,LAC,18,6,36,1,9,83,0,0
Robert Turbin,IND,17,23,53,1,9,56,0,0
Chris Johnson,ARI,16,45,114,0,5,43,0,0
Benny Cunningham,CHI,16,6,30,0,5,66,1,0
Corey Clement,PHI,15,25,71,1,1,22,0,0
Kyle Juszczyk,SF,15,3,11,0,8,80,1,0
Darren Sproles,PHI,13,15,61,0,7,73,0,1
Malcolm Brown,LAR,13,11,33,1,4,39,0,0
Rob Kelley,WAS,13,29,131,0,0,0,0,0
Rex Burkhead,NE,13,5,18,0,4,49,1,0
Latavius Murray,MIN,13,41,97,0,5,29,0,0
Charles Sims,TB,12,6,23,0,13,99,0,1
Kerwynn Williams,ARI,12,22,46,1,2,12,0,0
Jeremy Hill,CIN,11,29,98,0,4,16,0,0
Corey Grant,JAC,11,9,97,0,2,13,0,0
C.J. Prosise,SEA,11,8,20,0,6,87,0,0
Fozzy Whittaker,CAR,10,4,10,0,3,34,1,0
Paul Perkins,NYG,10,32,61,0,7,35,0,0
Devontae Booker,DEN,9,4,16,0,4,78,0,0
David Johnson,ARI,9,11,23,0,6,67,0,1
DeAndre Washington,OAK,9,14,20,0,11,67,0,0
Alfred Morris,DAL,9,8,87,0,0,0,0,0
C.J. Ham,MIN,8,2,1,1,2,23,0,0
Tommy Bohanon,JAC,8,1,0,0,4,23,1,0
Eddie Lacy,SEA,8,25,74,0,1,9,0,0
Branden Oliver,LAC,8,17,58,0,5,20,0,0
Zach Zenner,DET,8,10,16,1,0,0,0,0
James Conner,PIT,7,14,69,0,0,0,0,0
Jalston Fowler,TEN,6,1,3,1,0,0,0,0
Damien Williams,MIA,6,10,30,0,5,33,0,0
Tyler Ervin,HOU,5,4,12,0,8,38,0,0
Peyton Barber,TB,5,12,49,0,0,0,0,0
Mack Brown,WAS,4,8,29,0,1,11,0,0
Jamaal Williams,GB,4,10,33,0,2,7,0,0
Kenjon Barner,PHI,4,10,30,0,1,9,0,0
Thomas Rawls,SEA,4,13,24,0,2,15,0,0
Danny Woodhead,BAL,4,1,4,0,3,33,0,0
Dwayne Washington,DET,3,9,31,0,0,0,0,0
Raheem Mostert,SF,3,6,30,0,0,0,0,1
Travaris Cadet,NYJ,3,1,3,0,3,26,0,0
Jamize Olawale,OAK,3,3,15,0,2,13,0,0
Rod Smith,DAL,3,2,8,0,1,18,0,0
David Fluellen,TEN,2,4,21,0,0,0,0,0
James Develin,NE,2,0,0,0,3,20,0,0
Matthew Dayes,CLE,2,4,9,0,2,9,0,0
Jay Prosch,HOU,2,0,0,0,1,18,0,0
Ryan Hewitt,CIN,2,0,0,0,1,16,0,0
Michael Burton,CHI,2,1,7,0,1,8,0,0
Matt Jones,IND,1,5,14,0,0,0,0,0
Aaron Ripkowski,GB,1,2,6,0,3,8,0,0
Alfred Blue,HOU,1,4,12,0,0,0,0,0
Anthony Sherman,KC,1,0,0,0,1,11,0,0
Bobby Rainey,BAL,1,0,0,0,2,11,0,0
Derrick Coleman,ATL,1,0,0,0,1,11,0,0
Keith Smith,DAL,1,0,0,0,2,10,0,0
Kenyan Drake,MIA,1,4,3,0,3,7,0,0
Terrell Watson,PIT,1,4,8,0,0,0,0,0
Elijhaa Penny,ARI,1,1,1,0,1,6,0,0
Danny Vitale,CLE,1,0,0,0,1,7,0,0
Patrick DiMarco,BUF,0,1,-2,0,1,5,0,0
Akeem Hunt,KC,0,1,3,0,0,0,0,0
John Kuhn,NO,0,1,2,0,0,0,0,0
Andy Janovich,DEN,0,1,2,0,0,0,0,0
Justin Davis,LAR,0,1,1,0,0,0,0,0
De'Angelo Henderson,DEN,0,1,1,0,0,0,0,0
Derek Watt,LAC,0,1,0,0,0,0,0,0
Zach Line,NO,0,0,0,0,0,0,0,0
