PLAYER,TEAM,FPTS,REC,YDS,TDS,FL
Zach Ertz,PHI,64,34,405,4,1
Rob Gronkowski,NE,64,26,401,4,0
Cameron Brate,TB,52,21,281,4,0
Travis Kelce,KC,52,33,390,2,0
Evan Engram,NYG,40,24,282,2,0
Charles Clay,BUF,38,20,258,2,0
Jason Witten,DAL,35,27,229,2,1
Hunter Henry,LAC,35,17,228,2,0
Zach Miller,CHI,33,18,207,2,0
Kyle Rudolph,MIN,32,21,201,2,0
Delanie Walker,TEN,32,25,261,0,0
Ed Dickson,CAR,31,15,307,0,0
Austin Hooper,ATL,30,17,242,1,0
David Njoku,CLE,30,14,118,3,0
Vernon Davis,WAS,28,11,225,1,1
Darren Fells,DET,28,10,101,3,0
Jack Doyle,IND,27,24,213,1,2
George Kittle,SF,27,21,212,1,0
Austin Seferian-Jenkins,NYJ,27,23,152,2,1
Jesse James,PIT,27,18,151,2,0
Jared Cook,OAK,27,21,209,1,1
Tyler Kroft,CIN,26,14,139,2,0
Marcedes Lewis,JAC,26,5,76,3,0
Coby Fleener,NO,25,11,129,2,0
Jimmy Graham,SEA,24,21,179,1,0
Benjamin Watson,BAL,24,24,176,1,0
Seth DeValve,CLE,23,14,167,1,0
Martellus Bennett,GB,22,22,216,0,0
Gerald Everett,LAR,21,7,154,1,0
Ryan Griffin,HOU,21,12,148,1,0
Jonnu Smith,TEN,20,9,85,2,0
Luke Willson,SEA,20,7,84,2,0
A.J. Derby,DEN,18,9,124,1,0
Antonio Gates,LAC,18,12,115,1,0
O.J. Howard,TB,17,5,107,1,0
Tyler Higbee,LAR,17,11,166,0,0
Eric Ebron,DET,16,13,102,1,0
Dion Sims,CHI,16,6,98,1,0
Virgil Green,DEN,16,7,97,1,0
Lance Kendricks,GB,15,6,94,1,0
Jordan Reed,WAS,14,18,142,0,0
Stephen Anderson,HOU,14,9,136,0,0
Jermaine Gresham,ARI,12,14,122,0,0
Jeff Heuerman,DEN,12,4,59,1,0
Rhett Ellison,NYG,11,6,50,1,0
Julius Thomas,MIA,11,12,108,0,0
Michael Hoomanawanui,NO,11,4,48,1,0
Nick O'Leary,BUF,11,7,107,0,0
Troy Niklas,ARI,11,4,46,1,0
Trey Burton,PHI,10,6,42,1,0
Nick Boyle,BAL,10,12,97,0,0
Demetrius Harris,KC,10,5,36,1,0
James Hanna,DAL,9,1,28,1,0
Garrett Celek,SF,9,4,26,1,0
Phillip Supernaw,TEN,8,3,19,1,0
Brandon Williams,IND,8,6,76,0,0
Adam Shaheen,CHI,6,1,2,1,0
Vince Mayle,BAL,6,0,0,0,0
Eric Tomlinson,NYJ,6,3,59,0,0
Jerell Adams,NYG,6,3,55,0,0
C.J. Fiedorowicz,HOU,5,4,46,0,0
Ifeanyi Momah,ARI,5,1,46,0,0
Tyler Eifert,CIN,5,4,46,0,0
James O'Shaughnessy,JAC,4,4,41,0,0
Richard Rodgers,GB,4,3,38,0,0
Will Tye,NYJ,4,4,38,0,0
Derek Carrier,LAR,4,3,38,0,0
Maxx Williams,BAL,3,6,32,0,1
C.J. Uzomah,CIN,3,2,32,0,0
Josh Hill,NO,3,4,32,0,0
Greg Olsen,CAR,3,3,28,0,0
Ross Travis,KC,3,2,26,0,0
Vance McDonald,PIT,3,1,26,0,0
Jacob Hollister,NE,2,2,24,0,0
Lee Smith,OAK,2,3,24,0,0
Randall Telfer,CLE,2,2,24,0,0
Ben Koyack,JAC,2,1,21,0,0
Levine Toilolo,ATL,2,3,21,0,0
Darrell Daniels,IND,2,2,19,0,0
Brent Celek,PHI,2,2,16,0,0
Michael Roberts,DET,2,1,15,0,0
Nick Vannett,SEA,1,3,13,0,0
Blake Bell,MIN,1,1,12,0,0
Alan Cross,TB,1,2,11,0,0
Sean McGrath,LAC,1,1,10,0,0
Neal Sterling,NYJ,1,1,8,0,0
Clive Walford,OAK,1,2,6,0,0
Luke Stocker,TB,0,1,5,0,0
Logan Thomas,BUF,0,1,3,0,0
Dwayne Allen,NE,0,0,0,0,0
MarQueis Gray,MIA,0,0,0,0,0
Anthony Fasano,MIA,0,0,0,0,0
Logan Paulsen,SF,0,0,0,0,0
Ricky Seals-Jones,ARI,0,0,0,0,0
Matt LaCosse,NYG,0,0,0,0,0
David Morgan,MIN,0,0,0,0,0
Niles Paul,WAS,0,1,-3,0,0
