PLAYER,TEAM,PLAYS,FPTS,REC,YDS,TD,FL
Antonio Brown,PIT,74,82,48,700,2,0
DeAndre Hopkins,HOU,65,74,37,382,6,0
A.J. Green,CIN,51,68,32,504,3,1
Jordy Nelson,GB,38,65,25,290,6,0
Larry Fitzgerald,ARI,62,64,42,465,3,1
Davante Adams,GB,49,64,28,339,5,0
Stefon Diggs,MIN,38,63,23,395,4,0
Chris Hogan,NE,44,62,24,307,5,0
Michael Crabtree,OAK,34,60,25,304,5,0
Brandin Cooks,NE,44,60,24,472,2,0
Nelson Agholor,PHI,30,56,20,321,4,0
Mike Evans,TB,48,55,27,371,3,0
T.Y. Hilton,IND,41,54,25,485,1,1
Tyreek Hill,KC,48,52,30,390,2,0
Keenan Allen,LAC,61,51,33,446,1,0
Adam Thielen,MIN,54,50,38,489,0,2
Golden Tate,DET,50,49,36,363,2,0
Odell Beckham Jr,NYG,42,49,25,302,3,0
Devin Funchess,CAR,44,48,27,305,3,0
Jermaine Kearse,NYJ,32,48,26,299,3,0
Will Fuller V,HOU,16,46,8,154,5,0
Marvin Jones Jr.,DET,40,46,20,280,3,0
Dez Bryant,DAL,48,44,21,264,3,0
Michael Thomas,NO,43,44,28,321,2,0
Alshon Jeffery,PHI,48,44,24,317,2,0
Pierre Garcon,SF,56,43,33,434,0,0
Kelvin Benjamin,CAR,38,43,26,371,1,0
J.J. Nelson,ARI,29,43,17,277,2,1
Rishard Matthews,TEN,43,41,24,353,1,0
DeSean Jackson,TB,35,41,17,287,2,0
Emmanuel Sanders,DEN,42,39,25,266,2,0
Jarvis Landry,MIA,59,38,38,272,2,0
Cooper Kupp,LAR,32,38,19,265,2,0
Demaryius Thomas,DEN,44,38,28,380,0,1
Danny Amendola,NE,32,37,26,307,1,0
Julio Jones,ATL,37,37,25,367,0,0
Ted Ginn,NO,24,36,15,212,2,0
Allen Hurns,JAC,30,36,21,244,2,0
Robby Anderson,NYJ,41,36,18,296,1,0
Tyrell Williams,LAC,29,35,20,287,1,1
Sammy Watkins,LAR,24,34,15,222,2,0
Doug Baldwin,SEA,40,34,27,284,1,0
Sterling Shepard,NYG,32,34,22,263,1,0
Jaron Brown,ARI,36,33,18,274,1,0
Robert Woods,LAR,38,33,22,322,0,1
Paul Richardson,SEA,27,33,14,208,2,0
Brice Butler,DAL,11,33,8,207,2,0
Randall Cobb,GB,35,32,26,246,1,0
JuJu Smith-Schuster,PIT,23,31,15,192,2,0
Martavis Bryant,PIT,36,31,17,231,1,0
Marqise Lee,JAC,41,31,20,291,0,0
Mike Wallace,BAL,28,30,15,239,1,0
Donte Moncrief,IND,28,30,16,241,1,0
John Brown,ARI,28,30,12,168,2,0
Cordarrelle Patterson,OAK,22,30,10,53,0,0
DeVante Parker,MIA,28,30,19,236,1,0
Kendall Wright,CHI,26,30,20,236,1,0
Kenny Stills,MIA,24,28,14,163,2,0
Travis Benjamin,LAC,23,28,13,198,1,0
Brandon Coleman,NO,15,28,10,160,2,0
Jeremy Maclin,BAL,28,28,16,159,2,0
Ryan Grant,WAS,20,28,13,158,2,0
Marquise Goodwin,SF,36,28,16,269,0,0
Terrelle Pryor Sr.,WAS,29,27,16,209,1,0
Torrey Smith,PHI,26,27,14,210,1,0
Bennie Fowler III,DEN,24,26,13,140,2,0
Adam Humphries,TB,32,26,23,258,0,0
Jeremy Kerley,NYJ,20,25,19,193,1,0
Taylor Gabriel,ATL,27,24,14,168,1,0
Ricardo Louis,CLE,35,23,18,229,0,0
Cole Beasley,DAL,26,23,15,109,2,0
Mohamed Sanu,ATL,25,23,16,163,1,0
Bruce Ellington,HOU,21,23,11,155,1,0
Tyler Lockett,SEA,27,23,16,195,0,0
Eric Decker,TEN,35,23,23,226,0,0
Albert Wilson,KC,22,22,16,158,1,0
Kenny Golladay,DET,15,22,7,102,2,0
Jordan Matthews,BUF,13,22,10,162,1,0
Taywan Taylor,TEN,17,22,7,133,1,0
Seth Roberts,OAK,19,22,14,157,1,1
Aldrick Robinson,SF,24,21,9,153,1,0
Josh Doctson,WAS,9,21,4,90,2,0
De'Anthony Thomas,KC,8,21,6,83,2,0
Amari Cooper,OAK,39,21,18,146,1,0
Tavon Austin,LAR,32,19,5,19,0,3
Deonte Thompson,CHI,18,18,11,125,1,0
Kenny Britt,CLE,23,18,8,121,1,0
Terrance Williams,DAL,25,18,19,180,0,0
Roger Lewis,NYG,13,18,9,117,1,0
Chris Conley,KC,16,18,11,175,0,0
TJ Jones,DET,25,17,13,173,0,0
Trent Taylor,SF,26,17,14,110,1,0
Russell Shepard,CAR,14,16,8,99,1,0
Andre Holmes,BUF,8,16,6,35,2,0
Brandon Marshall,NYG,33,15,18,154,0,0
Geronimo Allison,GB,17,15,10,153,0,0
Jamison Crowder,WAS,25,13,17,121,0,2
Rashard Higgins,CLE,28,13,12,125,0,0
Justin Hardy,ATL,11,12,6,65,1,0
Johnny Holton,OAK,1,12,1,64,1,0
Corey Coleman,CLE,13,12,6,62,1,0
Joshua Bellamy,CHI,17,11,10,114,0,0
Brandon LaFell,CIN,25,11,15,108,0,0
Marvin Hall,ATL,2,10,1,40,1,0
Jarius Wright,MIN,7,10,4,39,1,0
Laquon Treadwell,MIN,13,9,8,93,0,0
Tommylee Lewis,NO,11,9,7,84,0,0
Phillip Dorsett,NE,9,9,4,85,0,0
Kamar Aiken,IND,28,9,10,90,0,0
Brandon Tate,BUF,4,8,2,25,1,0
Kasen Williams,CLE,17,8,9,84,0,0
Braxton Miller,HOU,10,8,5,20,1,0
Michael Campanaro,BAL,17,7,9,60,0,0
Corey Davis,TEN,13,7,7,73,0,0
Alex Erickson,CIN,9,7,5,74,0,1
Mack Hollins,PHI,5,7,5,70,0,0
Zay Jones,BUF,23,7,5,66,0,0
Chris Godwin,TB,8,6,5,61,0,0
Eli Rogers,PIT,11,5,6,54,0,1
ArDarius Stewart,NYJ,11,5,4,36,0,0
Curtis Samuel,CAR,12,5,4,12,0,0
Brittan Golden,ARI,5,5,2,50,0,0
Bryce Treggs,CLE,9,5,3,48,0,0
Keelan Cole,JAC,18,5,6,47,0,0
Jared Abbrederis,DET,7,4,3,44,0,0
Chris Moore,BAL,8,4,3,44,0,0
Tyler Boyd,CIN,9,4,6,43,0,0
Demarcus Robinson,KC,8,4,4,41,0,0
Nick Williams,ATL,4,3,3,30,0,0
Josh Reynolds,LAR,1,3,1,28,0,0
Kaelin Clay,BUF,5,3,1,28,0,0
Tanner Gentry,CHI,4,3,2,27,0,0
Pharoh Cooper,LAR,6,3,3,26,0,1
Breshad Perriman,BAL,18,3,4,26,0,0
Amara Darboh,SEA,7,3,3,26,0,0
Jordan Leslie,CLE,1,3,1,26,0,0
Jordan Taylor,DEN,4,3,3,26,0,0
Chris Matthews,BAL,6,2,3,25,0,0
Michael Floyd,MIN,4,2,2,24,0,0
Chad Williams,ARI,3,2,2,23,0,0
Cody Latimer,DEN,3,2,2,22,0,0
Marcus Johnson,PHI,3,2,2,22,0,0
Quan Bray,IND,2,2,1,22,0,0
Chris Thompson,HOU,1,2,1,19,0,0
Tre McBride III,CHI,1,2,1,18,0,0
Allen Robinson,JAC,1,2,1,17,0,0
Mike Williams,LAC,1,2,1,15,0,0
Jakeem Grant,MIA,4,2,3,15,0,0
Bernard Reedy,TB,3,1,1,6,0,0
Noah Brown,DAL,1,1,1,13,0,0
Andre Roberts,ATL,2,1,1,12,0,0
Arrelious Benn,JAC,1,1,1,12,0,0
John Ross,CIN,1,1,0,0,0,1
Damiere Byrd,CAR,5,1,0,0,0,0
Justin Hunter,PIT,5,1,2,11,0,0
Willie Snead IV,NO,3,1,1,11,0,0
Sammie Coates,CLE,6,1,1,11,0,0
Brian Quick,WAS,1,1,1,11,0,0
Dontrelle Inman,LAC,4,1,2,9,0,0
Trevor Davis,GB,1,1,1,9,0,0
Tavarres King,NYG,3,1,1,7,0,0
Kevin White,CHI,4,1,2,6,0,0
Ryan Switzer,DAL,2,1,0,0,0,1
Markus Wheaton,CHI,9,0,1,4,0,0
Isaiah McKenzie,DEN,5,0,1,0,0,0
Max McCaffrey,JAC,1,0,1,4,0,0
Charone Peake,NYJ,1,0,1,3,0,0
Darrius Heyward-Bey,PIT,1,0,0,0,0,0
Matt Hazel,IND,1,0,1,1,0,0
Leonte Carroo,MIA,3,0,0,0,0,0
Tanner McEvoy,SEA,4,0,0,0,0,0
Cody Core,CIN,2,0,0,0,0,0
Eric Weems,TEN,1,0,0,0,0,0
Travis Rudolph,NYG,1,0,0,0,0,0
