"Player","Team","FG","FGA","XPT","FPTS"
"Stephen Gostkowski","NE","31.2","36.0","49.6","143.3"
"Matt Bryant","ATL","30.1","34.2","46.9","137.2"
"Justin Tucker","BAL","32.0","35.1","34.6","130.6"
"Mason Crosby","GB","27.7","32.4","45.6","128.8"
"Graham Gano","CAR","29.7","36.4","38.2","127.4"
"Will Lutz","NO","26.9","32.3","46.2","126.9"
"Dan Bailey","DAL","27.4","31.6","43.1","125.3"
"Sebastian Janikowski","OAK","28.1","33.7","40.1","124.5"
"Adam Vinatieri","IND","27.6","31.3","41.1","124.0"
"Dustin Hopkins","WAS","28.4","34.3","38.6","123.7"
"Cairo Santos","KC","28.7","33.6","36.5","122.5"
"Blair Walsh","SEA","28.1","34.0","37.0","121.3"
"Caleb Sturgis","PHI","28.4","33.9","35.2","120.3"
"Matt Prater","DET","28.1","32.1","35.7","120.0"
"Chris Boswell","PIT","26.8","31.5","39.0","119.4"
"Phil Dawson","ARI","25.2","29.4","42.1","117.7"
"Josh Lambo","LAC","26.6","32.7","37.5","117.3"
"Brandon McManus","DEN","27.0","32.1","33.4","114.5"
"Steven Hauschka","BUF","25.9","30.4","36.6","114.2"
"Randy Bullock","CIN","25.7","30.6","36.3","113.5"
"Kai Forbath","MIN","26.5","30.1","33.9","113.3"
"Nick Novak","HOU","27.2","32.5","30.9","112.5"
"Nick Folk","TB","25.1","29.6","37.1","112.4"
"Jason Myers","JAC","26.3","31.6","33.4","112.1"
"Ryan Succop","TEN","24.2","27.5","39.2","111.8"
"Aldrick Rosas","NYG","24.3","29.1","36.7","109.6"
"Robbie Gould","SF","23.5","27.2","31.1","101.6"
"Connor Barth","CHI","22.9","29.0","31.9","100.7"
"Mike Nugent","NYG","22.7","28.3","32.5","100.4"
"Andrew Franks","MIA","21.2","26.6","35.9","99.6"
"Chandler Catanzaro","NYJ","23.1","28.5","28.3","97.7"
"Cody Parkey","CLE","22.3","27.7","28.2","94.9"
"Greg Zuerlein","LAR","22.1","26.9","28.0","94.2"
"Jake Elliott","CIN","17.7","20.9","24.7","77.8"
"Zane Gonzalez","CLE","15.6","19.0","18.9","65.7"
"Harrison Butker","CAR","14.1","16.7","19.1","61.4"
"Roberto Aguayo","CHI","0.0","0.0","0.0","0.0"
""
""
