"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Aaron Rodgers","GB","608.9","395.9","4,438.1","35.4","8.3","60.7","340.2","2.5","3.9","343.9"
"Tom Brady","NE","601.8","393.0","4,697.4","35.4","8.3","35.5","85.3","1.3","2.8","323.9"
"Drew Brees","NO","647.1","439.3","4,927.6","33.3","14.4","22.8","45.2","1.3","3.8","306.0"
"Matt Ryan","ATL","559.1","376.6","4,655.9","32.7","11.0","34.8","102.2","0.8","2.9","304.2"
"Russell Wilson","SEA","536.5","343.2","4,102.8","26.9","11.8","81.2","378.6","2.1","2.8","293.4"
"Andrew Luck","IND","553.7","340.5","4,040.8","29.2","15.4","62.9","306.1","2.1","3.1","284.7"
"Cam Newton","CAR","528.5","305.6","3,794.9","24.3","13.5","84.7","408.3","4.8","4.2","283.3"
"Jameis Winston","TB","573.3","357.1","4,287.9","28.2","16.1","50.0","182.6","2.5","3.9","277.8"
"Marcus Mariota","TEN","516.5","319.7","3,797.4","26.5","12.4","58.2","330.6","2.1","3.6","271.2"
"Kirk Cousins","WAS","595.7","385.9","4,530.3","24.9","13.3","33.4","89.9","2.5","4.4","269.3"
"Dak Prescott","DAL","495.9","319.2","3,744.3","24.7","9.0","59.1","276.8","3.1","3.9","269.0"
"Matthew Stafford","DET","588.5","380.7","4,180.4","25.2","12.4","37.1","158.5","1.8","2.8","264.2"
"Ben Roethlisberger","PIT","551.8","360.1","4,232.5","29.5","14.0","22.6","42.5","0.8","2.2","263.5"
"Tyrod Taylor","BUF","451.7","280.8","3,147.5","19.5","8.9","92.5","553.3","4.4","3.2","261.5"
"Andy Dalton","CIN","541.4","346.9","3,995.3","24.1","11.1","48.6","164.3","2.5","3.7","257.7"
"Philip Rivers","LAC","584.8","361.1","4,308.4","30.5","15.7","16.8","40.5","0.2","5.5","257.2"
"Derek Carr","OAK","591.0","361.9","4,082.9","27.7","11.1","35.3","86.7","0.6","3.8","256.8"
"Blake Bortles","JAC","564.7","329.1","3,659.3","22.8","15.4","55.8","315.4","2.2","4.4","242.5"
"Eli Manning","NYG","592.1","367.7","4,156.3","27.2","15.2","18.9","30.4","0.2","4.4","240.3"
"Carson Wentz","PHI","582.9","354.0","3,861.5","22.3","14.1","46.9","171.4","1.9","3.6","236.8"
"Carson Palmer","ARI","581.9","359.2","4,139.7","25.2","15.3","16.2","34.9","0.3","4.4","232.6"
"Joe Flacco","BAL","622.4","389.8","4,078.3","22.0","15.5","23.3","51.4","1.6","3.0","229.0"
"Alex Smith","KC","500.8","325.0","3,514.5","19.7","10.0","55.2","207.0","2.6","4.5","226.6"
"Sam Bradford","MIN","535.4","355.1","3,738.1","21.5","9.9","21.2","46.5","0.3","4.0","213.8"
"Jay Cutler","MIA","461.1","289.3","3,327.4","21.7","14.2","32.2","130.1","1.0","3.9","203.2"
"Brian Hoyer","SF","461.7","281.0","3,162.9","17.5","11.5","27.7","69.8","0.5","4.6","174.0"
