"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"David Johnson","ARI","282.5","1,198.9","12.0","75.5","742.3","3.9","3.1","283.3"
"Le'Veon Bell","PIT","292.6","1,340.5","9.4","75.9","619.9","2.4","2.2","262.3"
"LeSean McCoy","BUF","244.3","1,188.3","9.3","47.1","364.9","1.8","1.0","219.7"
"Devonta Freeman","ATL","219.3","968.2","8.9","55.4","484.8","2.7","1.8","211.0"
"Melvin Gordon","LAC","273.0","1,095.5","8.1","46.6","399.9","1.9","3.8","202.0"
"Jordan Howard","CHI","266.0","1,234.0","7.0","35.7","311.4","1.4","1.6","201.9"
"Jay Ajayi","MIA","264.7","1,191.2","8.3","35.2","248.2","1.3","1.3","199.2"
"DeMarco Murray","TEN","248.4","1,073.9","7.5","44.5","321.1","2.1","1.8","193.4"
"Todd Gurley","LAR","275.6","1,044.4","7.9","38.6","296.5","1.0","1.4","184.8"
"Lamar Miller","HOU","261.9","1,063.6","6.5","36.0","262.4","1.4","1.6","176.4"
"Leonard Fournette","JAC","239.0","1,042.2","7.1","30.4","228.0","1.2","1.8","173.4"
"Ezekiel Elliott","DAL","199.7","961.2","7.1","25.7","243.4","1.0","0.9","167.1"
"Isaiah Crowell","CLE","215.2","921.7","6.1","37.1","296.5","0.6","1.6","159.2"
"Marshawn Lynch","OAK","196.1","821.5","7.9","32.1","239.8","1.1","1.3","157.1"
"Spencer Ware","KC","199.8","850.4","6.1","32.3","297.7","1.3","4.1","150.9"
"Dalvin Cook","MIN","183.9","773.6","6.0","37.5","295.1","1.5","1.6","149.1"
"Ty Montgomery","GB","154.5","728.4","5.1","44.9","362.2","1.9","1.5","148.1"
"Christian McCaffrey","CAR","153.1","682.6","4.4","49.6","429.7","2.3","1.7","147.7"
"Mark Ingram","NO","168.4","752.6","5.4","42.2","318.0","2.2","2.5","147.4"
"Joe Mixon","CIN","184.3","767.9","6.2","34.6","274.1","1.0","1.5","144.2"
"Bilal Powell","NYJ","156.2","714.0","4.1","51.9","377.8","1.8","1.2","142.2"
"Carlos Hyde","SF","213.4","907.5","5.8","26.5","180.8","1.3","5.5","140.3"
"Frank Gore","IND","206.9","799.5","4.8","29.8","231.3","1.6","2.0","137.8"
"Tevin Coleman","ATL","129.3","566.0","5.1","35.6","364.5","2.6","1.3","136.3"
"Paul Perkins","NYG","205.3","835.7","4.2","25.8","222.4","1.0","1.5","133.8"
"Terrance West","BAL","188.1","753.3","5.1","32.3","228.5","1.1","1.0","133.0"
"Mike Gillislee","NE","164.7","772.3","7.5","13.8","106.6","0.4","1.4","132.7"
"Ameer Abdullah","DET","166.2","699.6","4.2","33.0","279.8","2.0","1.9","131.3"
"C.J. Anderson","DEN","175.9","746.2","4.8","28.6","221.9","1.0","1.8","127.8"
"Eddie Lacy","SEA","176.2","774.8","5.1","19.4","155.7","0.9","1.1","126.9"
"Robert Kelley","WAS","188.6","783.3","5.9","16.3","124.6","0.4","1.5","125.2"
"Danny Woodhead","BAL","89.7","379.0","2.6","61.0","491.8","2.9","1.0","118.1"
"Matt Forte","NYJ","149.6","611.0","3.7","31.6","258.0","1.4","1.7","113.8"
"Theo Riddick","DET","83.9","325.9","2.0","62.5","496.7","3.4","0.9","112.7"
"Doug Martin","TB","176.4","697.3","4.6","20.3","161.4","0.8","3.4","111.3"
"Jonathan Stewart","CAR","176.3","720.8","5.4","11.8","90.0","0.5","3.5","109.6"
"LeGarrette Blount","PHI","175.5","707.9","5.9","9.5","60.7","0.2","1.9","109.5"
"Duke Johnson","CLE","84.5","355.9","1.9","57.4","496.8","1.7","1.4","104.2"
"Adrian Peterson","NO","147.6","617.6","5.6","22.2","147.8","0.5","4.9","103.5"
"Derrick Henry","TEN","138.8","598.5","4.3","16.1","146.5","0.8","1.2","102.4"
"Kareem Hunt","KC","118.0","493.6","3.8","29.1","227.9","0.9","1.8","97.0"
"Darren Sproles","PHI","83.9","372.2","2.2","48.8","378.3","1.8","1.2","96.6"
"Darren McFadden","DAL","125.4","529.7","4.2","20.9","163.5","0.3","2.8","90.9"
"Giovani Bernard","CIN","102.9","420.9","2.3","35.2","300.5","1.4","1.9","90.4"
