Player,Team,ATT,REC,YDS,TDS,FL,FPTS
 ,,,,,,,
Julio Jones,ATL,0,98.5,1492.2,9.1,0.4,202.9
Antonio Brown,PIT,3.2,109.9,1414.7,10.1,0.8,202.4
Odell Beckham Jr.,NYG,0.5,96.4,1320.8,9.7,1,188.6
Jordy Nelson,GB,0,91.8,1232.8,10.6,1.3,184.5
Mike Evans,TB,0,89.9,1286.6,9.3,0.3,183.8
A.J. Green,CIN,0,89.5,1260.4,7.9,0.5,172.5
Michael Thomas,NO,0,94.6,1192,8.1,0.3,167.3
T.Y. Hilton,IND,0,81.9,1242.1,6.8,0.3,164.5
Doug Baldwin,SEA,2.7,87.6,1101.7,8.4,0.2,162.6
Amari Cooper,OAK,2,83.7,1155.9,6.7,0.4,156.4
Dez Bryant,DAL,0,71.7,1059.3,8.7,1.6,154.8
Allen Robinson,JAC,0,76.2,1027.3,7.1,0.4,144.7
DeAndre Hopkins,HOU,0,82.6,1092.9,5.9,0.3,143.9
Brandin Cooks,NE,3.7,72.9,1008.8,6.6,0.3,142.6
Michael Crabtree,OAK,0,83.8,980.9,7.3,0.3,141.4
Alshon Jeffery,PHI,0.3,74.5,1025.1,5.9,0.3,137.7
Kelvin Benjamin,CAR,0,68.1,966.1,6.6,1.4,133.5
Terrelle Pryor,WAS,1.9,69,987.8,5.5,0.4,132.6
Larry Fitzgerald,ARI,0.2,92.3,992.1,6,1.6,132.2
Golden Tate,DET,6.8,88.7,1003.6,5.1,1.5,131.7
Demaryius Thomas,DEN,0,80.9,1017.1,5.9,2.8,131.7
Davante Adams,GB,0.4,70.5,899.1,7.2,1,131.2
Tyreek Hill,KC,25.4,71.8,775.2,5.2,1.5,129.8
Jarvis Landry,MIA,3.6,88,1008.4,5,2.1,128.6
Sammy Watkins,LAR,0.1,65.2,956.3,5.3,0.3,126.9
Stefon Diggs,MIN,2.1,84.7,968.1,4.7,0.3,126.2
Emmanuel Sanders,DEN,0.7,71.5,953.5,5.2,0.7,125.3
Willie Snead,NO,0,73,944.8,5.4,0.8,125.3
Keenan Allen,LAC,0.1,82,950.9,5.8,3.1,124.1
Jamison Crowder,WAS,2.5,74.1,911.6,5.1,1.5,120.4
Martavis Bryant,PIT,2.3,57.1,838.9,6.1,0.9,120.2
Julian Edelman,NE,6.1,81,906,5,2.6,120.1
Randall Cobb,GB,5.3,73.9,816.4,5.7,0.3,119.6
