PLAYER,TEAM,FPTS,ATT,YDS,TDS,REC,REC YDS,REC TDS,FL
Todd Gurley,LAR,323,279,1305,13,64,788,6,2
Le'Veon Bell,PIT,261,321,1291,9,85,655,2,2
Kareem Hunt,KC,244,272,1327,8,53,455,3,1
Alvin Kamara,NO,233,120,728,8,81,826,5,1
Melvin Gordon,LAC,230,284,1105,8,58,476,4,0
Mark Ingram,NO,226,230,1124,12,58,416,0,3
LeSean McCoy,BUF,207,287,1138,6,59,448,2,1
Leonard Fournette,JAC,194,268,1040,9,36,302,1,0
Ezekiel Elliott,DAL,179,242,983,7,26,269,2,1
Jordan Howard,CHI,179,276,1122,9,23,125,0,1
Carlos Hyde,SF,177,240,938,8,59,350,0,1
Devonta Freeman,ATL,166,196,865,7,36,317,1,1
Dion Lewis,NE,165,180,896,6,32,214,3,0
Lamar Miller,HOU,158,238,888,3,36,327,3,0
Alex Collins,BAL,152,212,973,6,23,187,0,2
Christian McCaffrey,CAR,151,117,435,2,80,651,5,1
C.J. Anderson,DEN,147,245,1007,3,28,224,1,1
Marshawn Lynch,OAK,146,207,891,7,20,151,0,1
Duke Johnson Jr.,CLE,146,82,348,4,74,693,3,2
Frank Gore,IND,145,261,961,3,29,245,1,0
Latavius Murray,MIN,142,216,842,8,15,103,0,0
Tevin Coleman,ATL,141,156,628,5,27,299,3,0
DeMarco Murray,TEN,134,184,659,6,39,266,1,1
Jerick McKinnon,MIN,129,150,570,3,51,421,2,2
Bilal Powell,NYJ,124,178,772,5,23,170,0,1
Derrick Henry,TEN,124,176,744,5,11,136,1,0
Javorius Allen,BAL,120,153,591,4,46,250,2,0
Jamaal Williams,GB,118,153,556,4,25,262,2,0
Orleans Darkwa,NYG,117,171,751,5,19,116,0,0
Chris Thompson,WAS,116,64,294,2,39,510,4,2
Isaiah Crowell,CLE,116,206,853,2,28,182,0,1
Joe Mixon,CIN,115,178,626,4,30,287,0,2
Jonathan Stewart,CAR,115,198,680,6,8,52,1,3
Jay Ajayi,MIA,115,208,873,1,24,158,1,2
Kenyan Drake,MIA,112,133,644,3,32,239,1,2
Giovani Bernard,CIN,109,105,458,2,43,389,2,0
Theo Riddick,DET,103,84,286,3,53,444,2,1
Ameer Abdullah,DET,101,165,552,4,25,162,1,1
Rex Burkhead,NE,100,64,264,5,30,254,3,0
LeGarrette Blount,PHI,100,173,766,2,8,50,1,1
Tarik Cohen,CHI,91,87,370,2,53,358,1,2
Samaje Perine,WAS,90,175,603,1,22,182,1,2
Matt Forte,NYJ,85,103,381,2,37,293,1,1
Austin Ekeler,LAC,84,47,260,2,27,279,3,2
Matt Breida,SF,82,105,465,2,21,180,1,0
Marlon Mack,IND,82,93,358,3,21,225,1,0
Corey Clement,PHI,80,74,321,4,10,123,2,0
James White,NE,78,43,171,0,56,429,3,0
Rod Smith,DAL,73,55,232,4,19,202,1,0
Wayne Gallman,NYG,73,111,476,0,34,193,1,1
Adrian Peterson,NO,72,156,529,2,11,70,0,2
Peyton Barber,TB,72,108,423,3,16,114,0,1
Aaron Jones,GB,71,81,448,4,9,22,0,0
Mike Gillislee,NE,70,104,383,5,1,15,0,1
Ty Montgomery,GB,69,71,273,3,23,173,1,0
Chris Ivory,JAC,68,112,382,1,21,175,1,2
Doug Martin,TB,67,138,406,3,9,84,0,1
Alfred Morris,DAL,65,115,547,1,7,45,0,0
Jalen Richard,OAK,65,56,275,1,27,256,1,3
Devontae Booker,DEN,63,79,299,1,30,275,0,1
J.D. McKissic,SEA,63,46,187,1,34,266,2,0
Elijah McGuire,NYJ,61,88,315,1,17,177,1,2
T.J. Yeldon,JAC,60,49,253,2,30,224,0,1
Kerwynn Williams,ARI,58,120,426,1,10,93,0,0
Dalvin Cook,MIN,56,74,354,2,11,90,0,1
D'Onta Foreman,HOU,53,78,327,2,6,83,0,1
DeAndre Washington,OAK,53,57,153,2,34,197,1,1
Jamaal Charles,DEN,48,69,296,1,23,129,0,2
Andre Ellington,ARI,48,20,55,1,39,369,0,0
Charcandrick West,KC,46,18,72,2,27,150,2,0
Shane Vereen,NYG,42,45,164,0,44,253,0,0
Corey Grant,JAC,41,30,248,2,3,41,0,1
Kyle Juszczyk,SF,41,7,31,0,33,315,1,2
Charles Sims,TB,40,21,95,0,35,249,1,1
Damien Williams,MIA,40,46,181,0,20,155,1,0
Rob Kelley,WAS,39,62,194,3,4,18,0,0
Benny Cunningham,CHI,39,9,29,0,20,240,2,1
Mike Tolbert,BUF,38,66,247,1,14,78,0,1
Jacquizz Rodgers,TB,38,64,244,1,9,74,0,0
Alfred Blue,HOU,38,71,262,1,7,54,0,0
Mike Davis,SEA,37,68,240,0,15,131,0,0
Malcolm Brown,LAR,36,63,246,1,9,53,0,0
Wendell Smallwood,PHI,34,47,174,1,13,103,0,0
Chris Carson,SEA,33,49,208,0,7,59,1,0
Tion Green,DET,30,42,165,2,2,14,0,0
Elijhaa Penny,ARI,28,31,124,2,4,38,0,0
Terrance West,BAL,28,39,138,2,2,23,0,1
Kapri Bibbs,WAS,27,21,79,0,14,128,1,0
Danny Woodhead,BAL,26,14,56,0,33,200,0,0
Thomas Rawls,SEA,25,58,157,0,9,94,0,1
Tommy Bohanon,JAC,23,5,5,2,6,43,1,0
Eddie Lacy,SEA,23,69,179,0,6,47,0,0
Travaris Cadet,NYJ,22,23,96,0,16,119,0,0
Kenjon Barner,PHI,17,16,57,1,5,56,0,0
Robert Turbin,IND,17,23,53,1,9,56,0,0
Stevan Ridley,PIT,17,26,108,1,0,0,0,0
Cameron Artis-Payne,CAR,16,18,95,1,1,2,0,0
Chris Johnson,ARI,16,45,114,0,5,43,0,0
D.J. Foster,ARI,15,6,19,0,17,133,0,0
Anthony Sherman,KC,15,14,40,1,6,47,0,0
James Conner,PIT,14,32,144,0,0,0,0,0
Terron Ward,ATL,14,30,129,0,3,14,0,1
C.J. Ham,MIN,14,7,13,1,7,68,0,0
Jamize Olawale,OAK,14,9,43,1,6,33,0,0
Paul Perkins,NYG,14,41,90,0,8,46,0,0
Darren Sproles,PHI,13,15,61,0,7,73,0,1
Jeremy Hill,CIN,13,37,116,0,4,16,0,0
Roosevelt Nix,PIT,13,3,0,1,2,6,1,0
Fozzy Whittaker,CAR,12,7,18,0,5,47,1,0
Lance Dunbar,LAR,11,11,51,1,1,1,0,0
C.J. Prosise,SEA,11,11,23,0,6,87,0,0
Branden Oliver,LAC,11,35,83,0,6,26,0,0
De'Angelo Henderson,DEN,11,7,13,0,2,36,1,0
Trey Edmunds,NO,11,9,48,1,0,0,0,0
Andy Janovich,DEN,11,6,12,1,4,35,0,0
Zach Line,NO,10,7,28,0,2,8,1,0
Akeem Hunt,KC,10,16,65,0,4,31,0,0
David Johnson,ARI,9,11,23,0,6,67,0,1
Zach Zenner,DET,9,14,26,1,0,0,0,0
Brandon Bolden,NE,7,13,67,0,1,7,0,0
Brian Hill,ATL,7,11,37,0,2,36,0,0
Byron Marshall,WAS,7,9,32,0,6,36,0,0
Tre Madden,SEA,6,0,0,0,2,65,0,0
Jalston Fowler,TEN,6,2,4,1,0,0,0,0
Derek Watt,LAC,6,6,24,0,2,35,0,0
Dwayne Washington,DET,6,20,44,0,2,14,0,0
Derrick Coleman,ATL,5,2,8,0,4,45,0,0
Aaron Ripkowski,GB,5,5,13,0,7,39,0,0
Tyler Ervin,HOU,5,4,12,0,8,38,0,0
Marcus Murphy,BUF,5,7,41,0,2,7,0,0
Lawrence Thomas,NYJ,4,2,1,0,6,43,0,0
Matthew Dayes,CLE,4,5,13,0,4,29,0,0
Mack Brown,WAS,4,8,29,0,1,11,0,0
James Develin,NE,4,0,0,0,6,38,0,0
Fitzgerald Toussaint,PIT,3,6,25,0,2,9,0,0
Senorise Perry,MIA,3,8,30,0,1,3,0,0
Jay Prosch,HOU,3,0,0,0,4,31,0,0
Raheem Mostert,SF,3,6,30,0,0,0,0,1
De'Veon Smith,MIA,3,0,0,0,3,27,0,0
Keith Smith,DAL,3,0,0,0,5,26,0,0
Patrick DiMarco,BUF,3,2,-2,0,7,28,0,0
Andre Williams,LAC,2,9,25,0,0,0,0,0
Ryan Hewitt,CIN,2,0,0,0,2,22,0,0
Josh Ferguson,IND,2,1,5,0,3,16,0,0
David Fluellen,TEN,2,4,21,0,0,0,0,0
Bobby Rainey Jr.,BAL,2,1,2,0,5,18,0,0
Danny Vitale,CLE,2,0,0,0,3,19,0,0
Michael Burton,CHI,2,4,9,0,2,8,0,0
LeShun Daniels,WAS,1,3,14,0,0,0,0,0
Matt Jones,IND,1,5,14,0,0,0,0,0
Taiwan Jones,BUF,1,0,0,0,1,11,0,0
Terrell Watson,PIT,1,5,8,0,0,0,0,0
Joe Kerridge,GB,0,0,0,0,1,3,0,0
John Kuhn,NO,0,1,2,0,0,0,0,0
Justin Davis,LAR,0,1,1,0,0,0,0,0
Devante Mays,GB,0,4,1,0,3,0,0,1
Marquez Williams,CLE,0,0,0,0,0,0,0,0
C.J. Spiller,KC,0,2,0,0,0,0,0,0
Bronson Hill,ARI,0,1,-2,0,0,0,0,0
Darren McFadden,DAL,0,1,-2,0,0,0,0,0
