PLAYER,TEAM,FPTS,REC,YDS,TDS,FL
Rob Gronkowski,NE,156,69,1084,8,0
Travis Kelce,KC,152,83,1038,8,0
Zach Ertz,PHI,130,74,824,8,1
Jimmy Graham,SEA,112,57,520,10,0
Evan Engram,NYG,110,64,722,6,0
Delanie Walker,TEN,104,74,807,3,2
Kyle Rudolph,MIN,101,57,532,8,0
Cameron Brate,TB,95,48,591,6,0
Jack Doyle,IND,93,80,690,4,2
Jason Witten,DAL,86,63,560,5,1
Vernon Davis,WAS,83,43,648,3,2
Tyler Kroft,CIN,82,42,404,7,0
Hunter Henry,LAC,82,45,579,4,0
Eric Ebron,DET,81,53,574,4,1
Jared Cook,OAK,81,54,688,2,1
O.J. Howard,TB,79,26,432,6,2
Benjamin Watson,BAL,76,61,522,4,0
Austin Hooper,ATL,71,49,526,3,0
Charles Clay,BUF,68,49,558,2,0
George Kittle,SF,64,43,515,2,0
David Njoku,CLE,63,32,386,4,0
Marcedes Lewis,JAC,62,24,318,5,0
Garrett Celek,SF,58,21,336,4,0
Julius Thomas,MIA,57,41,388,3,0
Jesse James,PIT,55,43,372,3,0
Trey Burton,PHI,55,23,248,5,0
Austin Seferian-Jenkins,NYJ,54,50,357,3,1
Ed Dickson,CAR,50,30,437,1,0
Antonio Gates,LAC,50,30,316,3,0
Seth DeValve,CLE,46,33,395,1,1
Nick O'Leary,BUF,44,22,322,2,1
Jermaine Gresham,ARI,44,33,322,2,0
Coby Fleener,NO,42,22,295,2,0
Stephen Anderson,HOU,40,25,342,1,0
Luke Willson,SEA,39,15,153,4,0
Ricky Seals-Jones,ARI,38,12,201,3,0
Gerald Everett,LAR,38,16,244,2,1
A.J. Derby,DEN,36,21,244,2,1
Darren Fells,DET,36,17,177,3,0
Zach Miller,CHI,36,20,236,2,0
Rhett Ellison,NYG,36,24,235,2,0
Tyler Higbee,LAR,36,25,295,1,0
Jordan Reed,WAS,33,27,211,2,0
Adam Shaheen,CHI,31,12,127,3,0
Martellus Bennett,GB,29,30,286,0,0
Demetrius Harris,KC,28,18,224,1,0
Jonnu Smith,TEN,28,18,157,2,0
Lance Kendricks,GB,26,18,203,1,0
Jeff Heuerman,DEN,26,9,142,2,0
Greg Olsen,CAR,25,17,191,1,0
Virgil Green,DEN,25,14,191,1,0
Vance McDonald,PIT,25,14,188,1,0
Dion Sims,CHI,24,15,180,1,0
Richard Rodgers,GB,22,12,160,1,0
Ryan Griffin,HOU,22,13,158,1,0
James O'Shaughnessy,JAC,21,14,149,1,0
Nick Boyle,BAL,20,28,203,0,0
Troy Niklas,ARI,19,11,132,1,0
Brent Celek,PHI,19,13,130,1,0
Nick Vannett,SEA,18,12,124,1,0
Levine Toilolo,ATL,18,12,122,1,0
Eric Tomlinson,NYJ,18,8,121,1,0
Josh Hill,NO,18,16,125,1,2
Anthony Fasano,MIA,17,12,107,1,0
David Morgan,MIN,16,10,95,1,0
C.J. Uzomah,CIN,15,10,92,1,0
Maxx Williams,BAL,15,15,86,1,1
James Hanna,DAL,15,4,88,1,0
Dwayne Allen,NE,15,10,86,1,0
Daniel Brown,CHI,13,13,129,0,0
Logan Thomas,BUF,13,7,67,1,0
C.J. Fiedorowicz,HOU,13,14,127,0,0
Brandon Williams,IND,12,13,121,0,0
Michael Hoomanawanui,NO,11,6,52,1,0
Austin Traylor,DEN,10,8,100,0,0
Phillip Supernaw,TEN,10,4,39,1,0
Niles Paul,WAS,10,13,94,0,0
Jerell Adams,NYG,9,8,92,0,0
Xavier Grimble,PIT,9,5,32,1,0
Luke Stocker,TB,9,4,30,1,0
Neal Sterling,NYJ,8,6,82,0,0
Clive Walford,OAK,8,9,80,0,0
Ross Travis,KC,8,7,76,0,0
Lee Smith,OAK,8,8,76,0,0
Jeremy Sprinkle,WAS,7,2,13,1,0
Derek Carrier,LAR,7,8,71,0,0
Vince Mayle,BAL,6,0,0,0,0
Alan Cross,TB,6,5,58,0,0
Orson Charles,KC,5,2,53,0,0
Jacob Hollister,NE,5,4,42,0,0
Sean McGrath,LAC,5,4,46,0,0
Ifeanyi Momah,ARI,5,1,46,0,0
Michael Roberts,DET,5,4,46,0,0
Tyler Eifert,CIN,5,4,46,0,0
Will Tye,NYJ,4,4,38,0,0
Ben Koyack,JAC,4,5,38,0,0
Randall Telfer,CLE,4,3,36,0,0
Emanuel Byrd,GB,3,2,31,0,0
Darrell Daniels,IND,3,3,26,0,0
Antony Auclair,TB,2,2,25,0,0
Geoff Swaim,DAL,2,2,25,0,0
MarQueis Gray,MIA,2,1,10,0,0
Blake Bell,MIN,2,3,19,0,0
Chris Manhertz,CAR,2,2,17,0,0
Cole Hikutini,SF,2,2,15,0,0
Garrett Griffin,NO,0,1,4,0,0
Ryan Malleck,HOU,0,1,3,0,0
Jeff Cumberland,LAC,0,2,2,0,0
Logan Paulsen,SF,0,0,0,0,0
Matt LaCosse,NYG,0,0,0,0,0
Gabe Holmes,ARI,0,0,0,0,0
