PLAYER,TEAM,PLAYS,FPTS,REC,YDS,TDS,FL
DeAndre Hopkins,HOU,174,216,96,1378,13,1
Antonio Brown,PIT,163,207,101,1533,9,0
Keenan Allen,LAC,161,176,102,1393,6,0
Tyreek Hill,KC,123,166,75,1183,7,0
Marvin Jones Jr.,DET,107,164,61,1101,9,0
Julio Jones,ATL,149,164,88,1444,3,0
A.J. Green,CIN,143,156,75,1078,8,2
Michael Thomas,NO,149,154,104,1245,5,0
Brandin Cooks,NE,123,154,65,1082,7,0
Adam Thielen,MIN,143,153,91,1276,4,2
Jarvis Landry,MIA,163,152,112,987,9,2
Larry Fitzgerald,ARI,162,152,109,1156,6,1
Davante Adams,GB,117,148,74,885,10,0
Doug Baldwin,SEA,118,146,75,991,8,0
Robby Anderson,NYJ,117,137,63,941,7,0
Stefon Diggs,MIN,103,134,64,849,8,0
JuJu Smith-Schuster,PIT,79,134,58,917,7,0
Alshon Jeffery,PHI,120,133,57,789,9,0
Golden Tate,DET,125,132,92,1003,5,1
Devin Funchess,CAR,111,132,63,840,8,0
Mike Evans,TB,136,130,71,1001,5,0
Nelson Agholor,PHI,96,126,62,768,8,0
Demaryius Thomas,DEN,140,125,83,949,5,1
Kenny Stills,MIA,105,121,58,847,6,2
T.Y. Hilton,IND,109,121,57,966,4,1
Dez Bryant,DAL,133,119,69,838,6,1
Cooper Kupp,LAR,95,117,62,869,5,1
Marquise Goodwin,SF,109,113,56,962,2,0
Jermaine Kearse,NYJ,102,111,65,810,5,0
Amari Cooper,OAK,97,110,48,680,7,0
Michael Crabtree,OAK,101,110,58,618,8,0
Robert Woods,LAR,87,109,56,781,5,1
Sammy Watkins,LAR,70,107,39,593,8,0
Ted Ginn Jr.,NO,80,107,53,787,4,0
Paul Richardson,SEA,80,106,44,703,6,0
Rishard Matthews,TEN,88,103,53,795,4,0
Mohamed Sanu,ATL,101,101,67,703,5,0
Jamison Crowder,WAS,110,100,66,789,3,3
Mike Wallace,BAL,93,99,52,748,4,0
Tyrell Williams,LAC,69,97,43,728,4,1
Keelan Cole,JAC,83,93,42,748,3,1
Randall Cobb,GB,102,91,66,653,4,0
Travis Benjamin,LAC,75,90,34,567,4,0
Marqise Lee,JAC,98,90,56,702,3,0
DeSean Jackson,TB,93,89,50,668,3,0
Kelvin Benjamin,CAR,78,87,48,692,3,0
Sterling Shepard,NYG,88,86,59,731,2,0
Will Fuller V,HOU,52,85,28,423,7,0
Josh Doctson,WAS,79,85,35,502,6,0
Jordy Nelson,GB,88,84,53,482,6,0
Ryan Grant,WAS,65,81,45,573,4,0
Martavis Bryant,PIT,90,80,50,603,3,0
Danny Amendola,NE,86,78,61,659,2,0
Chris Hogan,NE,62,76,34,439,5,0
Albert Wilson,KC,65,74,42,554,3,0
Tyler Lockett,SEA,81,73,45,555,2,0
DeVante Parker,MIA,96,73,57,670,1,0
Brandon LaFell,CIN,89,73,52,548,3,0
Jaron Brown,ARI,69,72,31,477,4,0
Adam Humphries,TB,84,70,61,631,1,1
Emmanuel Sanders,DEN,92,68,47,555,2,0
Kendall Wright,CHI,91,67,59,614,1,0
Deonte Thompson,CHI,71,67,38,555,2,0
Kenny Golladay,DET,49,67,28,477,3,0
J.J. Nelson,ARI,64,66,29,508,2,1
Eric Decker,TEN,84,62,54,563,1,0
Jeremy Maclin,BAL,72,62,40,440,3,0
Allen Hurns,JAC,56,60,39,484,2,0
Chris Godwin,TB,55,58,34,525,1,0
Terrance Williams,DAL,80,58,53,568,0,0
Cole Beasley,DAL,63,55,36,314,4,0
Trent Taylor,SF,60,55,43,430,2,1
Cordarrelle Patterson,OAK,55,55,31,309,0,0
Torrey Smith,PHI,68,55,36,430,2,0
Brandon Coleman,NO,37,54,23,364,3,2
Roger Lewis,NYG,72,54,36,416,2,0
Bennie Fowler III,DEN,56,53,29,350,3,0
Seth Roberts,OAK,65,52,43,455,1,2
Donte Moncrief,IND,47,51,26,391,2,0
Pierre Garcon,SF,67,50,40,500,0,0
Brice Butler,DAL,23,50,15,317,3,0
Odell Beckham Jr,NYG,42,49,25,302,3,0
John Brown,ARI,56,49,21,299,3,0
Taylor Gabriel,ATL,59,49,33,378,1,0
Bruce Ellington,HOU,60,47,29,330,2,0
TJ Jones,DET,49,46,30,399,1,0
Joshua Bellamy,CHI,47,44,24,376,1,0
Rashard Higgins,CLE,51,44,27,312,2,1
Zay Jones,BUF,74,44,27,316,2,0
Corey Coleman,CLE,58,42,23,305,2,0
Tavarres King,NYG,39,42,18,240,3,0
Chris Moore,BAL,40,42,18,248,3,0
Cody Latimer,DEN,31,41,19,287,2,0
Dontrelle Inman,LAC,44,40,25,343,1,0
Justin Hardy,ATL,29,40,20,221,3,0
Dede Westbrook,JAC,51,40,27,339,1,0
Johnny Holton,OAK,18,40,9,218,3,2
Josh Gordon,CLE,42,40,18,335,1,0
Aldrick Robinson,SF,48,38,19,260,2,0
Tavon Austin,LAR,81,38,13,47,0,4
Kenny Britt,CLE,43,38,20,256,2,0
Corey Davis,TEN,65,38,34,375,0,1
Ricardo Louis,CLE,61,36,27,357,0,0
Chester Rogers,IND,40,35,23,284,1,0
Tyler Boyd,CIN,32,34,22,225,2,0
Jordan Matthews,BUF,36,34,25,282,1,1
Jakeem Grant,MIA,25,34,13,203,2,1
Taywan Taylor,TEN,36,33,16,231,1,0
Jarius Wright,MIN,25,32,18,198,2,0
Andre Holmes,BUF,22,30,13,120,3,0
Terrelle Pryor Sr.,WAS,37,30,20,240,1,0
Mack Hollins,PHI,22,29,16,226,1,0
Russell Shepard,CAR,34,28,17,202,1,0
Jeremy Kerley,NYJ,27,28,22,217,1,2
Michael Campanaro,BAL,32,28,19,173,1,0
De'Anthony Thomas,KC,17,27,14,143,2,0
Kendrick Bourne,SF,34,26,16,257,0,0
Alex Erickson,CIN,21,26,12,180,1,2
Geronimo Allison,GB,39,25,23,253,0,1
Damiere Byrd,CAR,18,24,10,105,2,0
Braxton Miller,HOU,30,22,19,162,1,0
Demarcus Robinson,KC,39,21,21,212,0,0
Eli Rogers,PIT,36,21,18,149,1,1
Phillip Dorsett,NE,19,20,12,194,0,0
Laquon Treadwell,MIN,35,20,20,200,0,0
Jaydon Mickens,JAC,11,20,6,77,2,2
Tommylee Lewis,NO,16,19,10,116,1,1
Louis Murphy,SF,17,18,8,121,1,0
Curtis Samuel,CAR,30,18,15,115,0,0
Chris Conley,KC,16,18,11,175,0,0
Josh Reynolds,LAR,24,16,11,104,1,0
Brandon Marshall,NYG,33,15,18,154,0,0
Tre McBride III,CHI,15,14,8,144,0,0
Jordan Taylor,DEN,20,14,13,142,0,0
Brandon Tate,BUF,14,14,6,81,1,0
Darrius Heyward-Bey,PIT,5,14,2,47,0,0
Kamar Aiken,IND,44,13,15,133,0,0
Brenton Bersin,CAR,14,13,8,128,0,0
Josh Malone,CIN,19,12,6,63,1,0
Maurice Harris,WAS,6,12,4,62,1,0
Marvin Hall,ATL,9,12,2,60,1,0
Hunter Sharp,DEN,9,11,5,54,1,0
Tanner McEvoy,SEA,10,11,5,113,0,1
Kaelin Clay,BUF,22,11,6,85,0,1
ArDarius Stewart,NYJ,20,11,6,82,0,0
Travis Rudolph,NYG,21,10,8,101,0,0
Jaelen Strong,HOU,4,10,3,38,1,0
Freddie Martino,TB,6,10,5,96,0,0
Mike Williams,LAC,23,10,11,95,0,0
Chad Hansen,NYJ,17,9,9,94,0,0
Mike Thomas,LAR,7,9,5,93,0,0
Willie Snead IV,NO,16,9,8,92,0,1
Pharoh Cooper,LAR,20,9,11,84,0,1
Jesus Wilson,TB,4,9,1,18,1,0
Bryce Treggs,CLE,19,8,5,79,0,1
Chris Thompson,HOU,6,8,5,84,0,0
Kasen Williams,CLE,18,8,9,84,0,0
Trevor Davis,GB,9,8,5,70,0,0
Justin Hunter,PIT,10,8,4,23,1,0
Michael Floyd,MIN,17,8,10,78,0,0
Breshad Perriman,BAL,35,8,10,77,0,0
Brian Quick,WAS,8,8,6,76,0,0
Amara Darboh,SEA,13,7,8,71,0,0
Brittan Golden,ARI,9,7,5,70,0,0
Sammie Coates,CLE,11,7,6,70,0,0
Leonte Carroo,MIA,12,7,7,69,0,0
Chad Williams,ARI,9,6,3,31,0,0
Markus Wheaton,CHI,17,5,3,46,0,0
Ryan Switzer,DAL,11,5,6,41,0,1
Marcus Johnson,PHI,8,4,5,45,0,1
Jared Abbrederis,DET,7,4,3,44,0,0
Michael Clark,GB,14,4,4,41,0,0
Quan Bray,IND,4,4,3,39,0,0
Bernard Reedy,TB,5,4,2,21,0,0
Tanner Gentry,CHI,6,4,3,35,0,0
Jojo Natson,NYJ,6,3,2,18,0,0
Isaiah McKenzie,DEN,14,3,4,29,0,2
Noah Brown,DAL,9,3,4,33,0,0
Nick Williams,ATL,4,3,3,30,0,0
Jordan Leslie,CLE,1,3,1,26,0,0
Chris Matthews,BAL,6,2,3,25,0,0
DeAndrew White,HOU,7,2,1,24,0,0
Griff Whalen,BAL,6,2,4,23,0,0
Jehu Chesson,KC,4,2,2,18,0,0
Allen Robinson,JAC,1,2,1,17,0,0
Darius Powe,NYG,4,1,2,13,0,0
Andre Roberts,ATL,4,1,1,12,0,1
Jeff Janis,GB,5,1,2,12,0,0
Arrelious Benn,JAC,2,1,1,12,0,0
John Ross,CIN,3,1,0,0,0,1
Kalif Raymond,NYJ,2,1,1,12,0,1
Shelton Gibson,PHI,3,1,2,11,0,0
Harry Douglas,TEN,3,1,1,8,0,0
Cobi Hamilton,HOU,6,1,1,8,0,0
Kevin White,CHI,4,1,2,6,0,0
Larry Pinkard,JAC,1,0,1,5,0,0
Eric Weems,TEN,3,0,1,5,0,0
Max McCaffrey,JAC,1,0,1,4,0,0
Charone Peake,NYJ,1,0,1,3,0,0
Matt Hazel,IND,1,0,1,1,0,0
Cody Core,CIN,4,0,0,0,0,0
K.J. Brent,IND,1,0,0,0,0,0
Isaac Whitney,OAK,1,0,0,0,0,0
Marquis Bundy,NYG,3,0,0,0,0,0
Ed Eagan,NYG,1,0,0,0,0,0
